Genotype	Avg_Inbred_seed wieght	Avg_B73outcross_seed wieght	Avg_Mo17outcross_seed wieght	B73_seed wt	Mo17_seed wt	Avg_Inbred_cob g	Avg_B73outcross_cob g	Avg_Mo17outcross_cob g	B73_cob g	Mo17_cob g	Avg_Inbred_cob dia	Avg_B73outcross_cob dia	Avg_Mo17outcross_cob dia	B73_cob dia	Mo17_cob dia	Avg_Inbred_cob len	Avg_B73outcross_cob len	Avg_Mo17outcross_cob len	B73_cob len	Mo17_cob len	Avg_Inbred_ind seed(g)	Avg_B73outcross_ind seed(g)	Avg_Mo17outcross_ind seed(g)	B73_ind seed(g)	Mo17_ind seed(g)	Avg_Inbred_seed#	Avg_B73outcross_seed#	Avg_Mo17outcross_seed#	B73_seed#	Mo17_seed#	Avg_Inbred_hgt	Avg_B73outcross_hgt	Avg_Mo17outcross_hgt	B73_hgt	Mo17_hgt
33-16	41.9		220.4	96.5	72.0	15.5		32.7	20.3	9.2	2.3		2.5	2.4	1.6	13.2		20.7	12.9	14.4	0.317242361		0.340469149	0.25052	0.308666667	133.2609924		652.2670035	385.9	234.5	231.6666667	280.1666667	297.6666667	218.1666667	223.6666667
A188	63.5	156.4	159.6	96.5	72.0	10.3	20.9	17.8	20.3	9.2	2.2	2.3	2.0	2.4	1.6	11.8	15.2	19.2	12.9	14.4	0.290771525	0.299195186	0.331652841	0.25052	0.308666667	217.9266939	524.662199	479.1574316	385.9	234.5	176.3333333	275.3333333	269.8333333	218.1666667	223.6666667
A239	93.7	172.4	148.6	96.5	72.0	17.4	26.2	23.4	20.3	9.2	2.2	2.4	2.2	2.4	1.6	14.5	15.2	15.9	12.9	14.4	0.314966667	0.287161794	0.32172	0.25052	0.308666667	296.5146993	603.9310947	461.6810038	385.9	234.5	205.8333333	293.1666667	255	218.1666667	223.6666667
A619	79.6	189.5	124.7	96.5	72.0	20.1	27.4	21.8	20.3	9.2	3.0	2.7	2.2	2.4	1.6	16.1	16.0	14.7	12.9	14.4	0.256966667	0.312166667	0.311961702	0.25052	0.308666667	309.9376977	604.8143667	400.1437241	385.9	234.5	209.5	286.5	313.5	218.1666667	223.6666667
A632	80.1	132.9	194.9	96.5	72.0	16.0	19.8	21.6	20.3	9.2	2.4	2.1	2.1	2.4	1.6	14.5	14.4	18.6	12.9	14.4	0.2492	0.245109931	0.310376574	0.25052	0.308666667	320.8081135	539.3841759	625.853027	385.9	234.5	207.8333333	275.5	296.1666667	218.1666667	223.6666667
A634	54.7	161.7	206.7	96.5	72.0	15.6	28.4	30.1	20.3	9.2	2.5	2.7	2.4	2.4	1.6	11.4	16.1	19.5	12.9	14.4	0.296943539	0.3258	0.362232831	0.25052	0.308666667	192.5285241	498.4070895	566.9514667	385.9	234.5	198.5	257.5	281	218.1666667	223.6666667
A635	28.8	148.6	141.9	96.5	72.0	5.1	24.8	18.3	20.3	9.2	1.6	2.4	1.9	2.4	1.6	9.7	15.7	15.5	12.9	14.4	0.165733333	0.260966667	0.275187123	0.25052	0.308666667	176.1929686	571.5977759	516.8306922	385.9	234.5	134.1666667	274	288.3333333	218.1666667	223.6666667
A641	39.4	228.4	184.7	96.5	72.0	11.0	37.5	27.8	20.3	9.2	2.1	3.0	2.4	2.4	1.6	11.3	20.1	20.3	12.9	14.4	0.23372607	0.31275915	0.31551909	0.25052	0.308666667	172.6821923	730.5735342	586.1352492	385.9	234.5	163.3333333	242.6666667	275	218.1666667	223.6666667
A654	53.5	154.2	127.3	96.5	72.0	11.6	27.2	16.4	20.3	9.2	2.0	2.6	2.0	2.4	1.6	11.4	15.7	17.6	12.9	14.4	0.247533333	0.27684	0.313183862	0.25052	0.308666667	215.8625722	555.0107759	406.5187576	385.9	234.5	150.1666667	241.6666667	241.8333333	218.1666667	223.6666667
A661	76.5	114.3	113.8	96.5	72.0	22.1	23.4	15.1	20.3	9.2	2.4	2.4	1.9	2.4	1.6	13.0	14.1	15.1	12.9	14.4	0.222266667	0.227195208	0.236566667	0.25052	0.308666667	347.7585221	498.448329	485.4627452	385.9	234.5	193.5	265.6666667	265.1666667	218.1666667	223.6666667
