region	chr	midPos	Nsites
(144,2075)(1000,5829)(1000,6000)	scaffold_100	3500	1933	0.048482
(367,2261)(2025,6935)(2000,7000)	scaffold_100	4500	1896	0.048554
(867,2505)(3000,7999)(3000,8000)	scaffold_100	5500	1640	0.048444
(1401,2864)(4015,8999)(4000,9000)	scaffold_100	6500	1465	0.048405
(353,2586)(1038,5742)(1000,6000)	scaffold_101	3500	2235	0.049523
(789,2684)(2077,6393)(2000,7000)	scaffold_101	4500	1897	0.049555
(1312,2745)(3000,7929)(3000,8000)	scaffold_101	5500	1435	0.049546
(1701,2988)(4000,8904)(4000,9000)	scaffold_101	6500	1289	0.049609
(226,1817)(1042,5999)(1000,6000)	scaffold_102	3500	1593	0.049086
(491,2244)(2034,6901)(2000,7000)	scaffold_102	4500	1755	0.049338
(817,2626)(3087,7899)(3000,8000)	scaffold_102	5500	1811	0.049427
(1116,3049)(4021,8818)(4000,9000)	scaffold_102	6500	1935	0.049351
(515,1850)(1000,5999)(1000,6000)	scaffold_103	3500	1337	0.049338
(881,2546)(2000,6999)(2000,7000)	scaffold_103	4500	1667	0.049160
(1184,2888)(3111,7872)(3000,8000)	scaffold_103	5500	1706	0.049094
(1306,3123)(4258,8939)(4000,9000)	scaffold_103	6500	1819	0.049100
(56,375)(4000,4465)(4000,9000)	scaffold_1031	6500	321	0.046722
(207,1686)(1084,5999)(1000,6000)	scaffold_104	3500	1481	0.048129
(588,2100)(2261,6999)(2000,7000)	scaffold_104	4500	1514	0.047274
(864,2403)(3511,7739)(3000,8000)	scaffold_104	5500	1541	0.048230
(1074,2453)(4000,8729)(4000,9000)	scaffold_104	6500	1381	0.048143
(93,2034)(1043,5961)(1000,6000)	scaffold_105	3500	1943	0.049094
(273,2451)(2003,6877)(2000,7000)	scaffold_105	4500	2180	0.049192
(881,2898)(3089,7999)(3000,8000)	scaffold_105	5500	2019	0.049297
(457,1724)(1000,5130)(1000,6000)	scaffold_106	3500	1269	0.049182
(677,1992)(2022,6868)(2000,7000)	scaffold_106	4500	1317	0.049115
(1285,2246)(3037,7815)(3000,8000)	scaffold_106	5500	963	0.049116
(1339,2459)(4537,8999)(4000,9000)	scaffold_106	6500	1122	0.049106
(1594,2552)(5000,9243)(5000,10000)	scaffold_106	7500	960	0.049179
(1725,3061)(6280,10999)(6000,11000)	scaffold_106	8500	1338	0.049241
(1993,3453)(7143,11999)(7000,12000)	scaffold_106	9500	1462	0.049231
(233,2090)(1055,5806)(1000,6000)	scaffold_107	3500	1859	0.049134
(428,2326)(2145,6999)(2000,7000)	scaffold_107	4500	1900	0.049147
(1045,2880)(3000,7999)(3000,8000)	scaffold_107	5500	1837	0.049087
(1494,3014)(4070,8999)(4000,9000)	scaffold_107	6500	1522	0.049041
(342,3195)(1000,5757)(1000,6000)	scaffold_108	3500	2855	0.048114
(1132,3295)(2000,6638)(2000,7000)	scaffold_108	4500	2165	0.048575
(1768,3295)(3000,6638)(3000,8000)	scaffold_108	5500	1529	0.049213
(2368,3678)(4000,8999)(4000,9000)	scaffold_108	6500	1312	0.049366
(2891,3746)(5000,9074)(5000,10000)	scaffold_108	7500	857	0.049443
(3196,3746)(6539,9074)(6000,11000)	scaffold_108	8500	552	0.049569
(3296,3958)(8386,11999)(7000,12000)	scaffold_108	9500	664	0.049311
(445,1780)(1000,5908)(1000,6000)	scaffold_109	3500	1337	0.049265
(680,1958)(2319,6394)(2000,7000)	scaffold_109	4500	1280	0.049202
(800,2349)(3372,7950)(3000,8000)	scaffold_109	5500	1551	0.049103
(1191,2715)(4013,8999)(4000,9000)	scaffold_109	6500	1526	0.049182
(46,2148)(3132,7999)(3000,8000)	scaffold_110	5500	2104	0.047722
(170,2907)(4000,8967)(4000,9000)	scaffold_110	6500	2739	0.048042
(623,3603)(5376,9999)(5000,10000)	scaffold_110	7500	2982	0.048170
