region	chr	midPos	Nsites
(62,164)(700,1020)(700,1300)	scaffold_100	1000	104	0.049171
(100,166)(956,1391)(800,1400)	scaffold_100	1100	68	0.049195
(100,166)(956,1391)(900,1500)	scaffold_100	1200	68	0.049195
(144,242)(1000,1599)(1000,1600)	scaffold_100	1300	100	0.049126
(165,266)(1390,1623)(1100,1700)	scaffold_100	1400	103	0.049020
(165,266)(1390,1623)(1200,1800)	scaffold_100	1500	103	0.049020
(165,270)(1390,1899)(1300,1900)	scaffold_100	1600	107	0.049031
(167,366)(1524,1995)(1400,2000)	scaffold_100	1700	201	0.049100
(167,441)(1524,2099)(1500,2100)	scaffold_100	1800	276	0.049268
(243,466)(1600,2124)(1600,2200)	scaffold_100	1900	225	0.049318
(267,466)(1896,2124)(1700,2300)	scaffold_100	2000	201	0.049399
(267,544)(1896,2399)(1800,2400)	scaffold_100	2100	279	0.049234
(271,566)(1900,2421)(1900,2500)	scaffold_100	2200	297	0.049230
(367,639)(2025,2599)(2000,2600)	scaffold_100	2300	274	0.049216
(442,654)(2100,2614)(2100,2700)	scaffold_100	2400	214	0.049037
(467,669)(2322,2799)(2200,2800)	scaffold_100	2500	204	0.049013
(467,766)(2322,2899)(2300,2900)	scaffold_100	2600	301	0.049038
(545,866)(2400,2999)(2400,3000)	scaffold_100	2700	323	0.049577
(567,883)(2527,3016)(2500,3100)	scaffold_100	2800	318	0.049586
(640,949)(2600,3179)(2600,3200)	scaffold_100	2900	311	0.049705
(655,949)(2785,3179)(2700,3300)	scaffold_100	3000	296	0.049727
(670,1028)(2800,3399)(2800,3400)	scaffold_100	3100	360	0.049554
(767,1128)(2900,3499)(2900,3500)	scaffold_100	3200	363	0.049506
(867,1164)(3000,3599)(3000,3600)	scaffold_100	3300	299	0.049121
(884,1199)(3114,3634)(3100,3700)	scaffold_100	3400	317	0.049120
(950,1206)(3321,3799)(3200,3800)	scaffold_100	3500	258	0.048977
(950,1306)(3321,3899)(3300,3900)	scaffold_100	3600	358	0.048858
(1029,1400)(3400,3993)(3400,4000)	scaffold_100	3700	373	0.048934
(1129,1458)(3500,4099)(3500,4100)	scaffold_100	3800	331	0.048952
(1165,1473)(3600,4114)(3600,4200)	scaffold_100	3900	310	0.048954
(1200,1479)(3793,4299)(3700,4300)	scaffold_100	4000	281	0.048933
(1207,1560)(3800,4380)(3800,4400)	scaffold_100	4100	355	0.048984
(1307,1600)(3900,4447)(3900,4500)	scaffold_100	4200	295	0.049177
(1401,1600)(4015,4447)(4000,4600)	scaffold_100	4300	201	0.049146
(1459,1600)(4100,4447)(4100,4700)	scaffold_100	4400	143	0.049156
(1474,1600)(4294,4447)(4200,4800)	scaffold_100	4500	128	0.049161
(1480,1600)(4300,4447)(4300,4900)	scaffold_100	4600	122	0.049163
(1561,1640)(4408,4999)(4400,5000)	scaffold_100	4700	81	0.049173
(1601,1707)(4957,5099)(4500,5100)	scaffold_100	4800	108	0.037456
(1601,1758)(4957,5150)(4600,5200)	scaffold_100	4900	159	0.040774
(1601,1758)(4957,5150)(4700,5300)	scaffold_100	5000	159	0.040774
(1601,1779)(4957,5399)(4800,5400)	scaffold_100	5100	180	0.041639
(1601,1879)(4957,5499)(4900,5500)	scaffold_100	5200	280	0.044316
(1641,1920)(5000,5540)(5000,5600)	scaffold_100	5300	281	0.044326
(1708,1949)(5100,5699)(5100,5700)	scaffold_100	5400	243	0.049297
(1759,2045)(5379,5799)(5200,5800)	scaffold_100	5500	288	0.049308
(1759,2075)(5379,5829)(5300,5900)	scaffold_100	5600	318	0.049192
(1780,2075)(5400,5829)(5400,6000)	scaffold_100	5700	297	0.049193
(1880,2130)(5500,6099)(5500,6100)	scaffold_100	5800	252	0.049031
(1921,2157)(5671,6126)(5600,6200)	scaffold_100	5900	238	0.048999
(1950,2157)(5700,6126)(5700,6300)	scaffold_100	6000	209	0.048971
(2046,2157)(5800,6126)(5800,6400)	scaffold_100	6100	113	0.048795
(2076,2157)(6045,6126)(5900,6500)	scaffold_100	6200	83	0.048952
(2076,2157)(6045,6126)(6000,6600)	scaffold_100	6300	83	0.048952
(2131,2157)(6100,6126)(6100,6700)	scaffold_100	6400	28	0.049121
(2158,2237)(6820,6899)(6300,6900)	scaffold_100	6600	81	0.050758
(2158,2261)(6820,6935)(6400,7000)	scaffold_100	6700	105	0.050448
(2158,2261)(6820,6935)(6500,7100)	scaffold_100	6800	105	0.050448
(2158,2261)(6820,6935)(6600,7200)	scaffold_100	6900	105	0.050448
(2158,2318)(6820,7270)(6700,7300)	scaffold_100	7000	162	0.050083
(2158,2318)(6820,7270)(6800,7400)	scaffold_100	7100	162	0.050083
(2238,2318)(6900,7270)(6900,7500)	scaffold_100	7200	82	0.049196
(2262,2318)(7214,7270)(7000,7600)	scaffold_100	7300	58	0.049229
(2262,2382)(7214,7699)(7100,7700)	scaffold_100	7400	122	0.049347
(2262,2407)(7214,7724)(7200,7800)	scaffold_100	7500	147	0.049552
(2319,2464)(7636,7899)(7300,7900)	scaffold_100	7600	147	0.049347
(2319,2505)(7636,7999)(7400,8000)	scaffold_100	7700	188	0.049535
(2319,2605)(7636,8099)(7500,8100)	scaffold_100	7800	288	0.049605
(2319,2622)(7636,8116)(7600,8200)	scaffold_100	7900	305	0.049584
(2383,2671)(7700,8299)(7700,8300)	scaffold_100	8000	290	0.049506
(2408,2771)(7843,8399)(7800,8400)	scaffold_100	8100	365	0.049339
(2465,2817)(7900,8445)(7900,8500)	scaffold_100	8200	354	0.049312
(2506,2817)(8000,8445)(8000,8600)	scaffold_100	8300	313	0.049178
(2606,2817)(8100,8445)(8100,8700)	scaffold_100	8400	213	0.048928
(2623,2817)(8251,8445)(8200,8800)	scaffold_100	8500	196	0.048915
(2672,2817)(8300,8445)(8300,8900)	scaffold_100	8600	147	0.048892
(2772,2864)(8400,8999)(8400,9000)	scaffold_100	8700	94	0.048649
(2818,2932)(8953,9067)(8500,9100)	scaffold_100	8800	116	0.049002
(2818,2932)(8953,9067)(8600,9200)	scaffold_100	8900	116	0.049002
(2818,2932)(8953,9067)(8700,9300)	scaffold_100	9000	116	0.049002
(2818,2958)(8953,9399)(8800,9400)	scaffold_100	9100	142	0.048953
(11,352)(477,969)(400,1000)	scaffold_101	700	343	0.049528
(34,414)(500,1099)(500,1100)	scaffold_101	800	382	0.049711
(83,427)(669,1112)(600,1200)	scaffold_101	900	346	0.049648
(114,507)(700,1299)(700,1300)	scaffold_101	1000	395	0.049551
(214,552)(800,1399)(800,1400)	scaffold_101	1100	340	0.049447
(283,635)(900,1482)(900,1500)	scaffold_101	1200	354	0.049407
(353,635)(1038,1482)(1000,1600)	scaffold_101	1300	284	0.049428
(415,635)(1100,1482)(1100,1700)	scaffold_101	1400	222	0.049101
(428,635)(1220,1482)(1200,1800)	scaffold_101	1500	209	0.049100
(508,716)(1300,1899)(1300,1900)	scaffold_101	1600	210	0.049112
(553,788)(1400,1973)(1400,2000)	scaffold_101	1700	237	0.049102
(636,798)(1819,2086)(1500,2100)	scaffold_101	1800	164	0.049106
(636,802)(1819,2199)(1600,2200)	scaffold_101	1900	168	0.049106
(636,898)(1819,2295)(1700,2300)	scaffold_101	2000	264	0.049682
(636,955)(1819,2379)(1800,2400)	scaffold_101	2100	321	0.049652
(717,994)(1900,2499)(1900,2500)	scaffold_101	2200	279	0.049746
(789,1094)(2077,2599)(2000,2600)	scaffold_101	2300	307	0.049805
(799,1175)(2196,2699)(2100,2700)	scaffold_101	2400	378	0.049834
(803,1274)(2200,2798)(2200,2800)	scaffold_101	2500	473	0.049609
(899,1274)(2323,2798)(2300,2900)	scaffold_101	2600	377	0.049336
(956,1311)(2461,2999)(2400,3000)	scaffold_101	2700	357	0.049261
(995,1376)(2500,3098)(2500,3100)	scaffold_101	2800	383	0.049242
(1095,1408)(2600,3199)(2600,3200)	scaffold_101	2900	315	0.049267
(1176,1434)(2700,3225)(2700,3300)	scaffold_101	3000	260	0.049082
(1275,1510)(2963,3399)(2800,3400)	scaffold_101	3100	237	0.049160
(1275,1522)(2963,3411)(2900,3500)	scaffold_101	3200	249	0.049161
(1312,1568)(3000,3591)(3000,3600)	scaffold_101	3300	258	0.049203
(1377,1568)(3168,3591)(3100,3700)	scaffold_101	3400	193	0.049294
(1409,1668)(3200,3799)(3200,3800)	scaffold_101	3500	261	0.049153
(1435,1668)(3324,3799)(3300,3900)	scaffold_101	3600	235	0.049156
(1511,1700)(3400,3999)(3400,4000)	scaffold_101	3700	191	0.049235
(1523,1768)(3546,4067)(3500,4100)	scaffold_101	3800	247	0.049255
(1569,1823)(3700,4199)(3600,4200)	scaffold_101	3900	256	0.049378
(1569,1850)(3700,4244)(3700,4300)	scaffold_101	4000	283	0.049356
(1669,1907)(3968,4399)(3800,4400)	scaffold_101	4100	240	0.049337
(1669,1980)(3968,4495)(3900,4500)	scaffold_101	4200	313	0.049331
(1701,2058)(4000,4594)(4000,4600)	scaffold_101	4300	359	0.049468
(1769,2109)(4145,4668)(4100,4700)	scaffold_101	4400	342	0.049481
(1824,2181)(4200,4799)(4200,4800)	scaffold_101	4500	359	0.049500
(1851,2195)(4343,4813)(4300,4900)	scaffold_101	4600	346	0.049513
(1908,2246)(4400,4999)(4400,5000)	scaffold_101	4700	340	0.049482
(1981,2346)(4517,5099)(4500,5100)	scaffold_101	4800	367	0.049887
(2059,2346)(4618,5099)(4600,5200)	scaffold_101	4900	289	0.049901
(2110,2362)(4728,5299)(4700,5300)	scaffold_101	5000	254	0.050140
(2182,2462)(4800,5399)(4800,5400)	scaffold_101	5100	282	0.050117
(2196,2493)(4949,5430)(4900,5500)	scaffold_101	5200	299	0.050086
(2247,2493)(5000,5430)(5000,5600)	scaffold_101	5300	248	0.050298
(2347,2543)(5284,5699)(5100,5700)	scaffold_101	5400	198	0.049860
(2347,2586)(5284,5742)(5200,5800)	scaffold_101	5500	241	0.049900
(2363,2586)(5300,5742)(5300,5900)	scaffold_101	5600	225	0.049789
(2463,2586)(5400,5742)(5400,6000)	scaffold_101	5700	125	0.049746
(2494,2586)(5650,5742)(5500,6100)	scaffold_101	5800	94	0.049863
(2494,2586)(5650,5742)(5600,6200)	scaffold_101	5900	94	0.049863
(2544,2590)(5700,6299)(5700,6300)	scaffold_101	6000	48	0.050037
(2587,2684)(6296,6393)(5800,6400)	scaffold_101	6100	99	0.049203
(2587,2684)(6296,6393)(5900,6500)	scaffold_101	6200	99	0.049203
(2587,2684)(6296,6393)(6000,6600)	scaffold_101	6300	99	0.049203
(2587,2684)(6296,6393)(6100,6700)	scaffold_101	6400	99	0.049203
(2587,2684)(6296,6393)(6200,6800)	scaffold_101	6500	99	0.049203
(2591,2684)(6300,6393)(6300,6900)	scaffold_101	6600	95	0.049200
(2685,2726)(7830,7871)(7300,7900)	scaffold_101	7600	43	0.049121
(2685,2745)(7830,7929)(7400,8000)	scaffold_101	7700	62	0.049121
(2685,2753)(7830,8099)(7500,8100)	scaffold_101	7800	70	0.049121
(2685,2837)(7830,8199)(7600,8200)	scaffold_101	7900	154	0.049309
(2685,2858)(7830,8220)(7700,8300)	scaffold_101	8000	175	0.049289
(2685,2858)(7830,8220)(7800,8400)	scaffold_101	8100	175	0.049289
(2727,2897)(7911,8499)(7900,8500)	scaffold_101	8200	172	0.049291
(2746,2922)(8092,8524)(8000,8600)	scaffold_101	8300	178	0.049523
(2754,2922)(8100,8524)(8100,8700)	scaffold_101	8400	170	0.049539
(2838,2922)(8200,8524)(8200,8800)	scaffold_101	8500	86	0.049665
(2859,2983)(8461,8899)(8300,8900)	scaffold_101	8600	126	0.049394
(2859,2988)(8461,8904)(8400,9000)	scaffold_101	8700	131	0.049385
(2898,2988)(8500,8904)(8500,9100)	scaffold_101	8800	92	0.049480
(2923,2988)(8839,8904)(8600,9200)	scaffold_101	8900	67	0.048960
(2923,2988)(8839,8904)(8700,9300)	scaffold_101	9000	67	0.048960
(64,155)(627,899)(300,900)	scaffold_102	600	93	0.048810
(64,225)(627,969)(400,1000)	scaffold_102	700	163	0.048932
(64,283)(627,1099)(500,1100)	scaffold_102	800	221	0.048943
(64,289)(627,1105)(600,1200)	scaffold_102	900	227	0.048947
(114,306)(801,1254)(700,1300)	scaffold_102	1000	194	0.049080
(114,307)(801,1399)(800,1400)	scaffold_102	1100	195	0.049080
(156,381)(900,1473)(900,1500)	scaffold_102	1200	227	0.049044
(226,390)(1042,1525)(1000,1600)	scaffold_102	1300	166	0.049015
(284,452)(1100,1699)(1100,1700)	scaffold_102	1400	170	0.048961
(290,490)(1238,1737)(1200,1800)	scaffold_102	1500	202	0.048912
(307,490)(1399,1737)(1300,1900)	scaffold_102	1600	185	0.048892
(308,490)(1400,1737)(1400,2000)	scaffold_102	1700	184	0.048890
(382,556)(1517,2099)(1500,2100)	scaffold_102	1800	176	0.048591
(391,590)(1638,2133)(1600,2200)	scaffold_102	1900	201	0.048649
(453,641)(1700,2299)(1700,2300)	scaffold_102	2000	190	0.048675
(491,690)(2034,2348)(1800,2400)	scaffold_102	2100	201	0.048722
(491,690)(2034,2348)(1900,2500)	scaffold_102	2200	201	0.048722
(491,768)(2034,2593)(2000,2600)	scaffold_102	2300	279	0.048783
(557,768)(2100,2593)(2100,2700)	scaffold_102	2400	213	0.048961
(591,768)(2249,2593)(2200,2800)	scaffold_102	2500	179	0.048935
(642,771)(2300,2899)(2300,2900)	scaffold_102	2600	131	0.048928
